,local_min,b_less_than_0,c_greaterthan_0,c_greater_than_a,bar,blink
0,True,False,True,True,0.3986928104575164,False
1,True,False,True,True,0.045716480983480585,False
2,True,False,True,True,0.05311290889905023,False
3,True,False,True,True,0.1145543175487465,False
4,True,True,False,False,0.10260003113809751,False
5,True,True,False,True,0.3249260470185272,False
6,True,False,True,True,0.1281332710571384,False
7,True,False,True,True,0.0751985053713218,False
8,True,False,True,True,0.033006383309979744,False
9,True,True,True,True,0.511757672379434,True
10,True,False,True,False,0.0035870864886408875,False
11,True,True,False,False,0.06496612196094058,False
12,True,True,False,True,0.33080908728577124,False
13,True,True,True,True,0.23316986179224256,False
14,True,False,True,True,0.09228711547035223,False
15,True,False,True,False,0.015752712141477172,False
16,True,False,True,True,0.02793877247733689,False
17,True,False,True,True,0.02169713181750633,False
18,True,True,False,False,0.09977139124755066,False
19,True,True,True,True,0.1680274330502939,False
20,True,False,True,True,0.12393860222077073,False
21,True,True,True,True,0.6655829075708314,True
22,True,False,True,False,0.0004644681839294184,False
23,True,False,True,True,0.039789441089952006,False
24,True,False,True,False,0.04164731382566957,False
25,True,True,False,False,0.10446153846153845,False
26,True,True,False,True,0.34184615384615386,False
27,True,True,False,True,0.18769230769230769,False
28,True,False,True,True,0.06815384615384615,False
29,True,False,True,True,0.15323076923076923,False
30,True,False,True,True,0.015664556962025292,False
31,True,False,True,True,0.0985759493670886,False
32,True,True,False,False,0.11060209424083765,False
33,True,True,False,True,0.2773232984293194,False
34,True,True,False,True,0.19846204188481673,False
35,True,True,True,True,0.7047449055481183,True
36,True,False,True,True,0.0374260355029586,False
37,True,False,True,False,0.012130177514792905,False
38,True,False,True,True,0.01715976331360947,False
39,True,True,False,False,0.09663978494623653,False
40,True,True,False,True,0.34395161290322585,False
41,True,True,True,True,0.674841972187105,True
42,True,False,True,False,0.02579013906447534,False
43,True,True,False,False,0.03552465233881157,False
44,True,True,False,True,0.29013906447534765,False
45,True,False,True,True,0.09084727322181424,False
46,True,False,True,True,0.0768393852849177,False
47,True,False,True,False,0.03739970080239358,False
48,True,False,True,True,0.05888752889976882,False
49,True,True,False,False,0.19166413142683303,False
50,True,True,False,True,0.29905689078186803,False
51,True,True,True,True,0.5321315535984588,True
52,True,False,True,False,0.017338654190174784,False
53,True,True,False,False,0.04582358607403328,False
54,True,True,False,True,0.34539700013760827,False
55,True,False,True,True,0.0995827538247566,False
56,True,False,True,True,0.14700973574408902,False
57,True,False,True,True,0.040611961057023666,False
58,True,False,True,True,0.0717663421418637,False
59,True,True,False,False,0.1118617643237625,False
60,True,True,False,True,0.30089645316357017,False
61,True,True,True,True,0.23346758477328827,False
62,True,False,True,True,0.0894162924951892,False
63,True,False,True,True,0.07584854797206227,False
64,True,True,False,False,0.3518221652238966,False
65,True,True,True,True,0.179010366570482,False
66,True,True,True,True,0.8832782124707591,True
67,True,True,False,False,0.2635314995563443,False
68,True,True,True,True,0.12261669953977646,False
69,True,False,True,True,0.06919789612097302,False
70,True,False,True,True,0.00862919132149902,False
71,True,False,True,True,0.040342914775592535,False
72,True,True,False,False,0.42772462562396,False
73,True,True,False,True,0.2702787021630616,False
74,True,True,True,True,0.1726289517470882,False
75,True,True,True,True,0.9563352826510721,True
76,True,False,True,False,0.00553606237816762,False
77,True,True,False,False,0.2852920588006534,False
78,True,True,True,True,0.12872365248502762,False
79,True,False,True,True,0.0002333359259547417,False
80,True,False,True,True,0.0283892043244925,False
81,True,False,True,True,0.022089134323714708,False
82,True,False,True,True,0.0427004744497161,False
83,True,False,True,False,0.019653502235469442,False
84,True,True,False,False,0.39171857823378525,False
85,True,True,False,True,0.3039574935873947,False
86,True,True,True,True,0.2292964455844632,False
87,True,True,True,True,0.6403640680648991,True
88,True,False,True,False,0.006885635140482794,False
89,True,False,True,False,0.0041946972694895225,False
90,True,False,True,True,0.04028492283339929,False
91,True,True,False,False,0.338029283735655,False
92,True,True,False,True,0.2933075825006298,False
93,True,True,True,True,0.14510034427743723,False
94,True,False,True,True,0.050298093878579225,False
95,True,False,True,True,0.05819128390293055,False
96,True,False,True,True,0.046048241014396044,False
97,True,True,False,False,0.3514266500144106,False
98,True,True,False,True,0.2989808652246257,False
99,True,True,True,True,0.194779534109817,False
100,True,True,True,True,0.8564349001351554,True
101,True,False,True,False,0.018396155578915774,False
102,True,True,False,False,0.2735882146615223,False
103,True,True,False,True,0.2112241318835496,False
104,True,True,True,True,0.1184145913714486,False
105,True,False,True,True,0.036618730270080675,False
106,True,False,True,True,0.051560855840056104,False
107,True,False,True,True,0.036127674500175386,False
108,True,True,False,False,0.5705786888525566,False
109,True,True,True,True,0.09019337161050377,False
110,True,True,True,True,0.08452505438972163,False
111,True,True,True,True,0.4989497766219039,True
